Original Text,Translated to English,Topic
not really - maybe a summary page of breaking legislation could be more organised,not really - maybe a summary page of breaking legislation could be more organised,opinion
"NON HO DATO ALCUNA RISPOSTA A PRADO, PERCHè NON SO COSA POSSA VOLER DIRE NEL CONTESTO DI QUESTA INCHIESTA. SE TRATTASI NON DEL MUSEO, MA DI UNA SPECIALE FUNZIONE DEL CONSIGLIO, POSTRESTE SPEIGARLO MEGLIO","I have not given any response to Prado, because I don't know what it may mean in the context of this investigation. If it is not the museum, but of a special function of the Council, you will postpone it better",search engine
"très lisible, facile d'utilisation, rien à changer pour ma part, dans ce que j'ai pu voir jusqu'à présent","Very readable, easy to use, nothing to change for my part, in what I have seen so far",document
I am confortable using the website,I am confortable using the website,website
"Alle Seiten auch als PDF (Daten reduziert ohne Grafiken) zum Download anbieten, ähnlich den Pressemitteilungen. Das fehlt zB bei den Eurogruppen-Webseiten zu den ""Hauptergebnissen"" der Sitzungen","Also offer all pages as a PDF (data reduced without graphics) for download, similar to the press releases. This is missing, for example, in the euro group websites for the ""main results"" of the meetings",website
nej,her,nothing
nein,no,nothing
nie,NO,nothing
Din punctul meu de vedere e bun asa,From my point of view it is good like that,opinion
Nu,Not,nothing
leichteres Nachschlagen von Abkürzungen und/oder sooft wie möglich im Text die Abkürzung ausschreiben,Lighter look up abbreviations and/or so often as possible in the text the abbreviation write out the abbreviation,opinion
"Me gustaría que los temas estuviesen mejor agrupados. Me gustaría que los resúmenes fuesen mas estructurados y sencillos, porque a veces son difíciles de leer.","I would like the issues to be better grouped. I would like the summaries to be more structured and simple, because sometimes they are difficult to read.",search engine
"De website is duidelijk gemaakt voor specialisten in EU, Civ, CivMil en Mil aangelegenheden","The website has been made clear to specialists in EU, CIV, CIVMIL and MIL matters",website
Lägg ut satellitbilder på utsläpp i atmosfären.,Post satellite images on emissions in the atmosphere.,opinion
Nie mam,I don't have,nothing
"C'è il motore di ricerca generale? Forse sì, ma io non l'ho trovato.","Is there the general search engine? Maybe yes, but I didn't find it.",search engine
I hope database could be more easily to use,I hope database could be more easily to use,document
"Mai multe analize, rapoarte, etc. care sa ofere informații calitative despre evoluțiile din UE.","More analyzes, reports, etc. which will provide qualitative information about EU developments.",information
Potenziare le informazioni sulle opportunità di lavoro,Enhance information on job opportunities,information
No tengo sugerencias aunque me gustaria conocer datos sobre investigacion,I have no suggestions although I would like to know data on research,suggestion
"Bem, a minha opinião é paciência com qualquer pessoa que navega sobre vossa página web.","Well, my opinion is patience with anyone who browses your web page.",opinion
Auf die Existenz hinweisen.,Indicate the existence.,opinion
E prea sobru constituită structura info.,The info structure is too sober.,opinion
??? wenn man das erste mal hier schaut ???? weiss nicht,??? If you look here for the first time ???? I do not know,nothing
più semplificato per i non esperti,more simplified for non -experts,opinion
Contacts (at least mail address) have to be easy to find,Contacts (at least mail address) have to be easy to find,email
Nein,No,nothing
Cerco dati sulla rotta balcanica dei migranti. Conto che le informazioni che vi trovo siano affidabili.,I am looking for data on the Balkan route of migrants. I realize that the information I find is reliable.,information
no,no,nothing
Climate change survey of scientists What's happen on earth to climate change to feature? H2O warrning for earth,Climate change survey of scientists What's happen on earth to climate change to feature? H2O warrning for earth,website
Utilizar un lenguaje más coloquial.,Use a more colloquial language.,translation
Quitar lo que no esté e vigor o que aparezca que está derogado en un sitio visible en cuanto de consulta,Remove what is not vigorous or that it appears that it is repealed in a visible site as soon as possible,opinion
Sie sollten die Wahrheit nicht verdrehen.,You shouldn't twist the truth.,opinion
Neturiu.,I have no.,nothing
Să fie pe modul negru,Be on the black mode,website
ΟΧΙ ΠΡΟΣ ΤΟ ΠΑΡΟΝ,NO TO THE PARON,opinion
Derzeit nicht. Vielleicht bei der nächsten Nutzung...,Currently not. Maybe the next use ...,opinion
-,-,nothing
"Make it more revelent, to the ordinary citizens of the EU","Make it more revelent, to the ordinary citizens of the EU",opinion
"Piemēram, informācijā par Eiropas izglītības telpu būtu jāiekļauj arī informācija par kvantitatīvajiem mērķiem Eiropas izglītības telpai līdz 2023. gadam","For example, information on the European Education Space should also include information on quantitative goals for the European Education Space until 2023",information
ΚΛΥΤΕΡΗ ΜΗΧΑΝΗ ΑΝΑΖΗΤΗΣ ΕΓΓΡΑΦΩΝ,CLOSE SEARCH MACHINE,search engine
"Prosím, nemeňte vzhľad a funkcie stránky každý mesiac",Please do not change the appearance and features of the page every month,opinion
Presnejšie informácie - kedy - kde - ako...,More precise information - when - where - how ...,information
en bas de page du site web est ecrit: 'contact' mais personne repond au e-mail,At the bottom of the website is written: 'contact' but no one responds to the e-mail,email
"Zatiaľ nie, som tu prvýkrát.","Not yet, I'm here for the first time.",nothing
"Nezabýval bych se vůbec stránkami, ale edukací občanů zemí, prezentací institucí a jejich ""marketingem"". Desinnformátorů jsou kvanta, ale o EU je slyšet málo. Na stránky jsem se podíval z důvodu, že jsem nevěděl, co je COREPER II. Jehož zástupcem za ČR byl Martin Povejšil, který obdržel včera vyznamenání. Informaci o COREPER II jsem našel dnes na stránkách MZV ČR a jeho nekrologu? Není to škoda?","I would not deal with the pages at all, but by the education of countries, the presentation of institutions and their ""marketing"". Desinnformators are quantum, but there is little about the EU. I looked at the site because I didn't know what Coreper II was. Whose representative for the Czech Republic was Martin Přítil, who received a honor yesterday. I found information about Coreeper II today on the website of the MFA of the Czech Republic and its obituar? Isn't that a shame?",opinion
mehr Hilfe bei Suchfunktion (automatische Vorschläge),More help with search function (automatic suggestions),search engine
Nee ik heb geen opmerking niet meer alleen dat ik wil dat ik nodig stop dat ze Poetin eindelijk straffen Maar ze laten hem gewoon lopen dat kan ik niet begrijpen,"No I no longer have a comment just that I want me to stop that they finally punish Putin, but they just let him walk that I can't understand that",comment
"Kompaktere aufmachung der Informationen, sonst schon ziemlich gut","Compact presentation of the information, otherwise pretty good",information
"Am primit o donație ,un ajutor de 25000€ nerambursabil și 25000€ cu împrumut fără dobândă pe 15 ani de la Ajutor Franța nerambursabil și Firma ajutoare Allocation familiale cu acte legale semnate și întocmite de ei și semnate ,trimise mie semnate și am ajuns până la rambursare ,zona clienți cu banca și pe urmă lucrurile au luat o întorsătură neașteptată și au pus tot felul de condiții și au dat alt act întocmit ,venit de la Comisia Europeană ,Structura financiară și economică,Serviciul de transfer international .Sfaturi de identificare Pop Elena , Obțineți suma de 3775€ , Garanția beneficiarului 385€ , Garanția alocației familiale 3990€ ,Suma totală de plătit 3775€ .Act emis în 28 decembrie 2022 .AK/2589654-07/07, Semnează director Jean-Claude Juncher. Trebuie pusă mâna pe ei sunt o bandă organizată formată din oameni capabili pentru că doamna care m a ajutat este lector universitar profesor universitar recunoscută la nivel mondial și am cercetat în timp să vedem ce se întâmplă am în jur de 100 de email uri de la acea doamnă de la firma respectivă care a fost foarte drăguță și actele sunt legale. Trebuie pusă mâna pe ei pentru că multe afaceri se fac în Franța în special cu bani nerambursabili de la uniunea europeană din bugetul uniunii europene și dacă ne axăm pe această problemă a mea veți vedea câți bani s au furat de această instituție. pe urmă sunt prinsă într un joc atâtea donații de la un spital și acel spital a fost a verișoarei mele 45% am și eu de acolo și am căzut pe mâna unor escroci unor oameni sus sus de tot puși și actele sunt pe numele meu toate legale verificate bătrânii dispar pentru că eu vorbesc cu ei pe cameră și ne scriem și ne am scris și dispar unul câte unul. Sunt sume enorme de bani și am plătit și notarul și avocatul pentru a intra banii în contul meu din România sau pentru a fi lăsați acolo și am pierdut mai mult de 6000 € și banii nu au intrat în contul meu. Rog să mi spuneți și să mi dați o adresă unde și cu cine pot lua legătura în acest sens. Doresc o adresă și o adresă de email. Pe urmă mai am verișoara mea decedată în 4 martie 2020 la spitalul militar Sfânta Maria din Londra și cadavrul este ascuns a ei a fost acel spital unde are 45%, dar cred că mai mult și nu am reușit să punem mâna pe ei și actele ei au fost făcute în timpul vieții prin Curtea supremă a regatului unit din Londra vă rog să îmi spuneți ce trebuie să fac ? Aștept răspunsul dumneavoastră cu mare nerăbdare. Sunt pensionară din învățământ profesor gimnazial am 70 de ani și sunt din România din județul Bistrița Năsăud orașul Năsăud și stau acum la țară în satul meu natal pentru că băiatul meu soția și nepoții au casă în spatele grădinii mele în spatele casei mele este un loc foarte frumos aici la Nepos 10 km de la Năsăud spre Ilva mică o zonă minunată și am o casă mare la Năsăud dar nu le place merg zilnic dar vin acasă la Nepos. Cu multă stimă și respect Elena Pop România 29 octombrie 2023","I received a donation, a help of € 25000 non -reimbursable and € 25000 with a 15 -year interest loan from help non -reimbursable and the Family Aid company with legal documents signed and drawn up by them and signed, sent to me and I reached until Refund, the clients area with the bank and then have taken an unexpected turn and put all kinds of conditions and gave another act prepared, coming from the European Commission, Financial and Economic Structure, International Transfer Service. Pop Identification Sumps Elena , Obtain the amount of € 3775, the beneficiary's guarantee 385 €, the guarantee of the family allowance 3990 €, the total amount to pay 3775 €. You have to put their hand on them are an organized band made up of capable people because the lady who helped me is a university professor lecturer recognized worldwide and I researched in time to see what happens I have around 100 email from that lady From the respective company that was very nice and the documents are legal. They should be put on them because many businesses are done in France especially with non -reimbursable money from the European Union from the European Union budget and if we focus on this issue you will see how much money they have stolen from this institution. Then I am caught in a game so many donations from a hospital and that hospital was of my cousin 45% I have from there and I fell into the hands of some people upstairs and the documents are on my name all legal Verified the elders disappear because I talk to them on the room and we write and we wrote and disappear one by one. There are huge amounts of money and I also paid the notary and the lawyer to enter my money in Romania or to be left there and I lost more than 6000 € and the money did not enter my account. Please tell me and give me an address where and with whom I can get in this regard. I wish an email address and address. Then I have my cousin who died on March 4, 2020 at the Saint Mary Military Hospital in London and the corpse is hidden of it was that hospital where it has 45%, but I think we could not get their hands on them and her documents were made during their lives through the Supreme Court of the UK in London please tell me what to do? I am waiting for your answer with great impatience. I am a pensioner from education teacher I am 70 years old and I am from Romania from Bistrița Năsăud County Năsăud and now stay in the country in my hometown because my boy's wife and grandchildren have a house behind my garden behind my house is a very place Beautiful here at Nepos 10 km from Năsăud to Ilva Mică a wonderful area and I have a big house in Năsăud but they do not like to go daily but come home to Nepos. With much esteem and respect Elena Pop Romania October 29, 2023",document
"For a High-school researcher like me, its perfect","For a High-school researcher like me, its perfect",opinion
Ok,Ok,nothing
va bene cosi,Okay so,nothing
Viac propagovat tuto stránku. Objavil som ju nahodne,To promote this page more. I discovered it randomly,opinion
Non,Non,nothing
Estoy muy agradecido por la información que disponen,I am very grateful for the information they have,information
"Laittamalla vain ne jotka menee oikeesti käsittelyyn,päivittämällä samoiseen alkuperäiseen jos laki tai muu direktiiviesitys käsitelty ja miten eli hyväksytty,hylätty ym","By putting only those who go for the right handling, upgrading to the same original if the law or other directive proposal was dealt with and how, ie accepted, abandoned etc.",opinion
Too soon for me to make any suggestions .,Too soon for me to make any suggestions .,suggestion
Its my first visit. All iz okay yet,Its my first visit. All iz okay yet,nothing
Brak uwag,Lack of comments,comment
No,No,nothing
"Vuestros informes deben de estar acompañados con más gráficos y entendibles (colores y el tipo de texto usan), a veces tengo la impresión que lo hacen para dificultar su entendimiento. Una imagen, vale por mil palabras.","Your reports must be accompanied with more graphics and understandable (colors and the type of text use), sometimes I have the impression that makes it difficult for their understanding. An image, is worth a thousand words.",document
"Melhorar o site e o deixar mais intuitivo e atraente a pessoas do ambiente escolar. Incluir videos e audios, deixar com a aparencia mais visual e atrativa ao público mais jovem, alias eles representam o nosso futuro a conscientização deste publico é fundamental","Improve the site and make it more intuitive and attractive to people in the school environment. Include videos and audios, leave with the more visual and attractive appearance to younger audiences, alias they represent our future the awareness of this audience is fundamental",opinion
Ggg,Ggg,nothing
No,No,nothing
"Protection from attacks cybercrime, propaganda, anticipate, anti-government, G8 tellorism group, high influence viruses population all","Protection from attacks cybercrime, propaganda, anticipate, anti-government, G8 tellorism group, high influence viruses population all",opinion
Wie bei der IT-Gesetzgebung soll die EU mit Fachbegriffen um sich werfen. Keine Simplifizierung nach unten der Sprache an durchschnittliche dumme EU-Subjekte sondern stets den Sinn nach hohem Niveau.,"As with IT legislation, the EU should throw technical terms around. No simplification down in the language of average stupid EU subjects but always the meaning at a high level.",translation
los colores,colors,website
1. Information should be honest and not propagandistic. 2. Facts should be easy to find.,1. Information should be honest and not propagandistic. 2. Facts should be easy to find.,information
Faciliter la connaissance des structures européennes par un large public,Facilitate knowledge of European structures by a large audience,opinion
"Good that you've got an Instagram profile, as this often seems to be lacking among political commissions and committees of the EU.","Good that you've got an Instagram profile, as this often seems to be lacking among political commissions and committees of the EU.",opinion
Thanks,Thanks,nothing
"The charts were excellent for observing trends. I am a photographer — the visual is important to me. I am also a writer and would have liked to be able to refer to tables with numbers. This is a well organized therefore useful web page. FYI: I live in France but I was born in Silicon Valley California, before it was that. I directed a public health project there after working as a photographer & copy writer in advertising. In all of those capacities I designed web pages. Yours was a pleasure to access. Thank you...jt","The charts were excellent for observing trends. I am a photographer — the visual is important to me. I am also a writer and would have liked to be able to refer to tables with numbers. This is a well organized therefore useful web page. FYI: I live in France but I was born in Silicon Valley California, before it was that. I directed a public health project there after working as a photographer & copy writer in advertising. In all of those capacities I designed web pages. Yours was a pleasure to access. Thank you...jt",opinion
Myślę że nie,I think not,nothing
Bisher nicht.,Not yet.,nothing
"I wanted to know how many representatives each country can send to the EU council and vote, I think I got my answer but this could have been a bit easier to find","I wanted to know how many representatives each country can send to the EU council and vote, I think I got my answer but this could have been a bit easier to find",opinion
"Website is in order but for foreign participants from other than Europe, few more special items can be introduced. No specialty in granting scholarships to Europeans only as it is evident to all of them. But to learn the methodology from other democratic nations will give a chance to learn and teach to others which will pave the way for larger development of humanity. If you wish any specific matter, I shall be pleased to write a detailed essay but now I am preoccupied with writing articles for my newspaper as I am to submit every fortnight a new topic.","Website is in order but for foreign participants from other than Europe, few more special items can be introduced. No specialty in granting scholarships to Europeans only as it is evident to all of them. But to learn the methodology from other democratic nations will give a chance to learn and teach to others which will pave the way for larger development of humanity. If you wish any specific matter, I shall be pleased to write a detailed essay but now I am preoccupied with writing articles for my newspaper as I am to submit every fortnight a new topic.",website
Nincsen.,Is not.,nothing
Out in evidente press relesse,Out in evidente press relesse,document
"No further comments, thank-you.","No further comments, thank-you.",comment
nessun suggerimento da dare,No suggestions to give,suggestion
Mniej propagandowych informacji,Less propaganda information,information
Not at this time.,Not at this time.,nothing
"es müsste mehr bürgerlicher werden, sodass es auch Menschern verstehen, die keine weitere Ausbildung nach ihrer Pflichtschule oder Lehre absolvierten.","It would have to become more bourgeois, so that it also understands people who did not complete any further training according to their compulsory school or teaching.",opinion
"Problém nie je vo webovom sídle Rady, problém je v samotných politikoch.","The problem is not in the website of the Council, the problem is in the politicians themselves.",website
neen,no,nothing
Não,No,nothing
No,No,nothing
En löytänyt edes tulevia puheenjohtajamaita listattuna...,I couldn't even find future presidency countries listed ...,document
"Por ahora, no.",Not for now.,nothing
No,No,nothing
nu,not,nothing
Európai Parlament és a Tanács (EU) 2021/1060 rendeletének eredeti szövegét keresem. Hol találom meg?,I am looking for the original text of Regulation 2021/1060 of the European Parliament and of the Council (EU). Where can I find?,opinion
Nu inca,Not yet,nothing
A tradução tem alguns erros de sintaxe. Podem e devem corrigir esses erros.,The translation has some syntax errors. They can and should correct these mistakes.,translation
Geen,No,nothing
Οχι,No,nothing
Ne.,It is.,nothing
Trezirea dormiți mult,Waking up you sleep a lot,nothing
Ninguna.,None.,nothing
Nej,Her,nothing
"May you can add more news about UE and the countries situations, but am satisfy with the website in generally.","May you can add more news about UE and the countries situations, but am satisfy with the website in generally.",website
Non,Non,nothing
No,No,nothing
no,no,nothing
ND,ND,nothing
Un indice generale in ordine alfabetico con la possibilitá di filtrarlo per date per argomento per persone ecc.,A general index in alphabetical order with the possibility of filtering it for dates by subject for people etc.,document
"Zatím ne, je to má první návštěva.","Not yet, it's my first visit.",nothing
Peut être plus de details dans les résumés et aussi de comprendre mieux le lien avec les autres organes de lUE,May be more details in summaries and also to better understand the link with the other organs of LUE,search engine
z-Zt.noch nicht,Z-Zt. NOT not,nothing
Mejor buscador,Better search engine,search engine
ne zatím,not yet,nothing
Nein,No,nothing
Bóg honor ojczyzna,God honor the homeland,opinion
Informare dei documenti approvati,Inform approved documents,document
deocamdata nu,not yet,nothing
Ras,Ras,nothing
no comment,no comment,comment
"Looks pretty clean here to me. Just a bit one-sided against Russia, though. The invasion didn't happen in a vacuum.","Looks pretty clean here to me. Just a bit one-sided against Russia, though. The invasion didn't happen in a vacuum.",opinion
"In smarte city Gelsenkirchen, arbeiten nur Informatiker und Andere, über Cybercrime lachen, die weder Datenschutz, Hetze, noch wie man Sicherheitslücken melden. Das ist deutsche Transformation. Inkompetenz in allen Bereichen, man verübt vornehme Ignoranz und lacht über behinderte, ausgebeutete Person, die man noch mit Faekbildern vorführt, digitale Anarchie seit ganze 5 Jahre, man hat die helllste Freude, dem Opfer nicht zu sagen welche Profille über Facebook an alle nahen Geräte sendet,. Man verherrlicht digitale Gewalt, tut aus dumm. Ich habe nichts aufgenommen, und Exkremente esse ich auch nicht, sowas stört weder Jugendschutz noch Bürgerschutzbeauftragten. vielleicht Prototyp von Propaganda, man test die Türken wann die aufschreien. Es wird desinformaiert ich würde live aufnehmen und senden. Habe es an türk., ital. und poln. Botschaft mit geteilt. Deutschland ist blind für Menschenrechtsverletzung im eigenen Land.","In Smarte City Gelsenkirchen, only computer scientists and others work on cybercrime laughing that neither data protection, agitation nor how to report security gaps. This is German transformation. Incompetence in all areas that you commit distinguished ignorance and laugh at the disabled, exploited person who is still shown with faec pictures, digital anarchy for 5 years, you have the lightest pleasure not to tell the victim which profile on Facebook sends. You glorify digital violence, do it from stupid. I have not received anything, and I don't eat excrement either, that doesn't bother the protection of minors or civil protection officers. Perhaps Propaganda prototype, you test the Turks when they cry out. It is disinformaed I would record and send live. I shared it to Turkish, Italian and Polish message. Germany is blind to violation of human rights in their own country.",opinion
"It's a little daunting at first, but once you know how it works, it's usually easy enough to find what you're looking for.","It's a little daunting at first, but once you know how it works, it's usually easy enough to find what you're looking for.",nothing
"Gör den snyggare, mer autentisk, mer prestigefylld. Den ska representera Europa men ser ut som ett 90tals modernistprojekt.","Make it nicer, more authentic, more prestigious. It will represent Europe but looks like a 90's modernist project.",opinion
"Vorrei che nel sito ci fossero delle mappe per tematiche e settori degli interventi degli Stati Membri, le loro iniziative.","I wish there were maps on the site for themes and sectors of the interventions of the Member States, their initiatives.",opinion
Geen opmerkingen,No comments,comment
keine Meinung,No opinion,opinion
nan,,nothing
udoskonalić program operacyjny,improve the operational program,opinion
WAS ZIJT MIJN TEKSTEN BSN161619654BSN TE KONINKRIJK DER NEDERLANDEN VERSUS PROSTITUES ARE NEVER WOMEN LAWS INTERNATIONAL LAWS - DANIEL KAREL JAN VERBEEK SCHWEIZ,Was my texts BSN161619654BSN in Kingdom of the Netherlands versus prostitutes are never Women Laws International Laws - Daniel Karel Jan Verbeek Schweiz,opinion
"Nessun commento, dovete proporre il feedback dopo aver aperto alcune pagine del web non prima.","No comments, you must offer feedback after opening some pages of the web not before.",comment
"La langue anglaise est prédominante. Or, d'une part, le Royaume-Uni ne fait plus partie de l'Union Européenne et d'autre part, l'usage du français, qui était importante il y a quelques années se perd de plus en plus. Ne serait-il pas possible de refléter la richesse linguistique des Etats-membres en n'utilisant pas QUE l'anglais ?","The English language is predominant. However, on the one hand, the United Kingdom is no longer part of the European Union and on the other hand, the use of French, which was important a few years ago is lost more and more. Would it not be possible to reflect the linguistic wealth of member states by not using that English?",translation
Make it more known under the public. A lot of people do not know the platform and I have to refer it often.,Make it more known under the public. A lot of people do not know the platform and I have to refer it often.,opinion
Improve your marketing,Improve your marketing,opinion
"The new conclusions on the Middle East were only in a press release so looking under Council Conclusions didn't help, probably because it's only partial conclusions and not the complete document. Maybe you can link from that page to the current EUCO meeting page, as that's where I found all the information.","The new conclusions on the Middle East were only in a press release so looking under Council Conclusions didn't help, probably because it's only partial conclusions and not the complete document. Maybe you can link from that page to the current EUCO meeting page, as that's where I found all the information.",document
"Simplemente que siendo un sitio de acceso para recibir todo lo concerniente al Parlamento Europeo, se le de más publicidad ya que mucha gente desconoce este sitio.","Simply being an access site to receive everything concerning the European Parliament, it is more advertising since many people do not know this site.",opinion
NO,NO,nothing
"Nein, danke.",No thanks.,nothing
La notion de personnalite sans l'U.E. web,The notion of personality without the e.e. Web,opinion
No,No,nothing
Non,Non,nothing
hľadám zasadací poriadok - a neviem ho násjť,I am looking for a session order - and I don't know to see it,opinion
Nu,Not,nothing
Je pense qu'il pourrait être intéressant d'avoir également une traduction en espéranto pour envoyer le signal que cette langue peut amener un rapprochement linguistique entre les peuples d'Europe et permettre une véritable équité de coopération.,I think it might be interesting to also have a Esperanto translation to send the signal that this language can bring a linguistic rapprochement between the peoples of Europe and allow a real equity of cooperation.,translation
nessuna,none,nothing
Supongo por las preguntas que estan probando el formulario en general es fácil y las preguntas amplias me parece bien.,I suppose the questions that are testing the form in general is easy and the wide questions seems good to me.,document
nu,not,nothing
.,.,nothing
No,No,nothing
Για σημερα οχι την αλλη φορα συγουρα .Ευχαρηστω για τον χρονο σας,TODAY NO OTHER TIME. Thanks for your time,opinion
Explain the double standards of the organisation like becoming a weapons supplier and destroying Europe through sanctions. Need to address the criticism of EU and what path the Council will take. Confused statements from leaders are not helpful.,Explain the double standards of the organisation like becoming a weapons supplier and destroying Europe through sanctions. Need to address the criticism of EU and what path the Council will take. Confused statements from leaders are not helpful.,opinion
Yes,Yes,nothing
RAS,RAS,nothing
Nie,NO,nothing
Totul e perfect,Everything is perfect,opinion
Ik hoop beter en duidelijk terug te kunnen vinden wanneer precies de Nederlandse regerings leider aanwezig is.,I hope to be able to find better and clearly when exactly the Dutch government leader is present.,search engine
Potrzebuję adresy mailowe członków Rady Europy. Mam problem z ich odnalezieniem.,I need email addresses of members of the Council of Europe. I have a problem with finding them.,email
Tutustun sivustoon vasta nyt tarkemmin. Eläkeläisenä on tähän enemmän aikaa. Minua kiinnostaa eri maiden mielipiteet ja kannat asioihin. Tällä hetkellä erityisesti Lähi-Idän ja Palestiinan konfliktin ratkaiseminen.,"I will only see the site now. As a pensioner, there is more time for this. I am interested in the opinions and positions of different countries. Currently, in particular, the resolution of the Middle East and Palestinian conflict.",opinion
nincs,there is no,nothing
nan,,nothing
"Neviem, detailne som stránku neskúmal.","I don't know, I didn't investigate the page in detail.",opinion
No.,No.,nothing
"Que sigan abogando por el acceso fácil sobre la identidad, composición, historia, funciones y demás elementos fundamentales de la Institución.","That continue to advocate for easy access to identity, composition, history, functions and other fundamental elements of the institution.",document
"FREE PALESTINE!!! Stop Israel funding and « right to defend itself narrative », Israel is the colonizer just as many European countries have been at some point in history and see how you have left the world, with all these inequalities y poverty that will continue forever and ever. And then you complain of migrant issues, when first you took away/stole everything from their lands. As long as you continue to look only for your and the United States economic interests, you will just continue to be the United States’ puppet. I don’t understand how you can condem what Russia is doing to Ukraine (which by the way is a militarized country) and do not condem what Israel is doing to Palestina (which doesn’t even have a military to defend itself) and even worse, has been doing for more than 70 years. Please, you know deep down in your conscience that this is wrong. FREE PALESTINE!!! CEASE FIRE NOW!","FREE PALESTINE!!! Stop Israel funding and « right to defend itself narrative », Israel is the colonizer just as many European countries have been at some point in history and see how you have left the world, with all these inequalities y poverty that will continue forever and ever. And then you complain of migrant issues, when first you took away/stole everything from their lands. As long as you continue to look only for your and the United States economic interests, you will just continue to be the United States’ puppet. I don’t understand how you can condem what Russia is doing to Ukraine (which by the way is a militarized country) and do not condem what Israel is doing to Palestina (which doesn’t even have a military to defend itself) and even worse, has been doing for more than 70 years. Please, you know deep down in your conscience that this is wrong. FREE PALESTINE!!! CEASE FIRE NOW!",opinion
Nu,Not,nothing
"Maybe add a shortcut to the ""Contact Us"" section on the top bar, I had a hard time figuring out I need to scroll to the bottom to find it... ,)","Maybe add a shortcut to the ""Contact Us"" section on the top bar, I had a hard time figuring out I need to scroll to the bottom to find it... ,)",opinion
