Original Text,Translated in English,Topic
je n'irais probablement pas,I would probably not go,information
The translations could be inaccurate,The translations could be inaccurate,human translation
Different interaction. Machine translation is quickly perceived. Does not respond to the needs of the reader. Can make reading highly unpleasant and a struggle. Mistakes are common. Human touch is added value,Different interaction. Machine translation is quickly perceived. Does not respond to the needs of the reader. Can make reading highly unpleasant and a struggle. Mistakes are common. Human touch is added value,machine translation
Prekážajú mi strojové preklady. Nie vždy vystihnúť podstatu,Machine translations are hindered. Not always capture the essence,machine translation
aucune,none,nothing
Potenziell falsche Übersetzungen,Potentially false translations,human translation
"Die Frage ist dumm. Es gibt sehr gute maschinelle Übersetzungen, und schlechte. WIE GUT WÄRE DENN DIE ÜBERSETZUNG? Bzw. beste Ergebnisse gibt es, wenn eine maschinelle Übersetzung von redaktionell bearbeitet wird. Deshalb, wie soll man diese Frage beantworten?????","The question is stupid. There are very good mechanical translations and bad. How well would the translation be? Or the best results are available when a machine translation is edited by editorial. Therefore, how should you answer this question ?????",human translation
T2755009@gmail.com,T2755009@gmail.com,understanding
Certains expressions et mots ont des acceptions difficiles à traduire dans une langue différente de l'original.,Some expressions and words have difficult to translate in a different language from the original.,language
Anche che ci fosse degli errori è sufficente capirne il senso,Also that there was mistakes it is sufficient to understand their meaning,language
"Lo visiterei più spesso, in quanto mi fa risparmiare tempo per la consultazione.","I would visit it more often, as it saves me time for consultation.",machine translation
"Jeg har meget lidt tiltro til AI-oversættelse til dansk, så der vil jeg nok ophøre med at bruge webstedet. Eller søge efter originalsproget, hvis EN, FR eller DE.","I have very little confidence in AI translation into Danish, so I will probably cease to use the site. Or search for the original language if one, fr or they.",language
maior possibilidade de erro,greater possibility of error,human translation
"Leggerei con piu' attenzione per capire se ci sono errori, possibilmente confrontando con un'altra lingua. La lingua dell'originale dovrebbe essere dichiarata e mi piacerebbe che fosse l'inglese.","I would read more attention to understand if there are errors, possibly comparing with another language. The language of the original should be declared and I would like it to be English.",language
Des tournures de phrases inexactes ce qui serait préjudiciable dans mes travaux universitaires,Turns of inaccurate sentences which would be harmful in my university work,machine translation
per chi consulta il sito potrebbe seguire quello che si trova nel sito del consiglio e non in altri siti,For those who consult the site it could follow what is found on the Council website and not in other sites,information
De forma positiva,In a positive way,language
"Habría que estudiar si la traducción es fidedigna y no da pie a malas interpretaciones. Si fuera así, sería mucho más fiable y seguro y sin ninguna interferencia","It would be necessary to study if the translation is reliable and does not give rise to bad interpretations. If so, it would be much more reliable and safe and without any interference",human translation
Maschinelle Übersetzung ist oft schwerer verständlich und es fehlt häufig der Sinnzusammenhang,Machine translation is often more difficult to understand and often the context,machine translation
Ich weiß es nicht,I don't know it,nothing
mauvaise traduction,Bad translation,human translation
posti di lavoro che si perdono,jobs that are lost,machine translation
you lose some cultural references and idioms,you lose some cultural references and idioms,machine translation
"They do not interpret languages, but only translate the words from a language to the respective version in another language","They do not interpret languages, but only translate the words from a language to the respective version in another language",language
"LETTURA PIù RAPIDA. UNA TRADUZIONE GOOLE SAREBBE MOLTO INTERESSANTE, SPECIALMENTE PER CHI HA PODA DIMESTICHEZZA CON LE LINGUE. POSSO DIRVI CHE GOOGLE AL RIGUARDO HA FATTO MOLTI PROGRESSI ULTIMAMENTE, SOPRATTUTTO PER LE TRADUZIONI DA/VERSO L'INGLESE O IL FRANCESE","Quick reading. A Goole translation would be very interesting, especially for those who have a podium familiarity with languages. I can tell you that Google in this regard has made many progress lately, especially for translations from/to English or French",language
"cela pourrait induire en erreur sur certaines syntaxe, voir tournure de phrases. Ce qui n'est pas le cas.","This could mislead on certain syntaxes, see the turn of sentences. Which is not the case.",language
"No me gustaría, porque las traducciones automáticas en temas tan complicados, y con argumentos tan diversos inducen a error","I would not like, because automatic translations on such complicated issues, and with such diverse arguments they induce error",human translation
is the translation accurate and consistent?,is the translation accurate and consistent?,human translation
Facilitaría mucho mi trabajo,I would very facilitate my work,machine translation
rezygnacja z korzystania,resignation,understanding
Le traduzioni automatizzate non sempre riescono bene,Automated translations are not always good,human translation
nicht mehr vertrauenswürdige Textwendungen im Inhalt; nicht maschinelle Übersetzung wie bisher hat die implizite Annahme der inhaltlichen/Kontext bezogen korrekten Übersetzung,"no longer trustworthy text applications in the content; not machine translation as before, the implicit assumption of the content/context related to correct translation",content
"Ehkä jonain hassujen käännöskukkasten hymähtelynä. Kunhan ketterä vaihto yleiskielelle on saatavilla, tekstin henki selviää pikkukaivelulla.","Perhaps the smile of some funny translation flowers. As long as the agile exchange is available for the common language, the spirit of the text is survived by a little ocean.",language
Nu cred ca m-ar influenta!,I don't think I would influence me!,nothing
Perte de confiance,Loss of trustworthy,machine translation
Ok,Ok,nothing
keine,no,nothing
Es posible que lo utilizase mas.,ES Posble that it used but.,understanding
in search of associated materials,in search of associated materials,understanding
Met zeer sterke achterdocht. De juridische waarde en dus het juist kunnen interpreteren van teksten zou daardoor onaanvaardbaar verkleinen,With very strong suspicion. The legal value and therefore the correct interpretation of texts would therefore reduce unacceptably,understanding
Kanske svårare att förstå.,Maybe harder to understand.,information
Lepsze zapoznanie się w sprawie,Better familiarization in the case,understanding
in peggio perché le traduzioni automatizzate non sempre risultano pertinenti.,For worse because automated translations are not always relevant.,human translation
Ar putea impune fiecărui cititor obligația sa folosească un filtru suplimentar pentru a surprinde corect substanța informațiilor.,Each reader could impose the obligation to use an additional filter to properly capture the information substance.,information
Agevolerebbe la consultazione,It would facilitate consultation,ease of use
No se entenderia en el lenguaje cotidiano,I don't be entranted in the daily language,language
Occasional use of another language,Occasional use of another language,language
"Negatywnie, maszyny nie są w stanie jasno tłumaczyć wszystkiego","Negative, the machines are not able to clearly explain everything",machine translation
Moderna,Modern,understanding
Bei maschineller Übersetzung wäre ich sehr vorsichtig.,I would be very careful with machine translation.,machine translation
Foarte,Very,nothing
Daria lugar a malas traducciones y no naturales. Seria bastante vergonzoso para la UE tener una pagina mal traducida,It would give rise to bad translations and not natural. It would be quite shameful for the EU to have a badly translated page,human translation
"Acredito que o factor humano é sempre necessário, dado que é sempre necessário interpretar o contexto e adequar a linguagem.","I believe that the human factor is always necessary, since it is always necessary to interpret context and adapt language.",language
si molto utile,It is very useful,quality
tłumaczenie maszynowe jest mniej zrozumiałe,Machine translation is less understandable,reliability
Dr tror jag,Dr. I think,nothing
Ich würde sie nicht mehr nutzen,I wouldn't use it anymore,information
"Preferisco una traduzione fatta dalle persone, piuttosto che da sistemi automatici.","I prefer a translation made by people, rather than automatic systems.",human translation
"martwiłabym się, ze maszyna przetłumaczy coś niezgodnie z zamysłem twórcy tekstu",I would worry that the machine would translate something contrary to the ideas of the text creator,machine translation
"Strojový překlad je dobrý, pokud je dobrý. Když člověk umí alespoň trochu jazyk, může si korekce udělat sám. Pořád lepší rovnou strojový překlad, než si překlad obstarávat sám, lépe se vyhledávají informace, pokud vyhledávání funguje v jazyce, který ovládám.","The machine translation is good if it is good. When a person can at least a little tongue, the correction can do himself. Still better straight machine translation than to get the translation itself, better search for information if search works in the language I control.",machine translation
No afecta Ya se traduce,It does not affect it already translates,machine translation
"Auf mich hätte das keinen Einfluß, aber der Einfluß der nationalen Manipulation würde geringer werden.","That would not have an influence on me, but the influence of national manipulation would be less.",reliability
Ich unterhalte mich nicht mit Maschinen!,I don't talk to machines!,machine translation
Die Übersetzungen sind wahrscheinlich weniger genau. Das Vertrauen auf das Zutreffen der dortigen Angaben wäre geringer,The translations are probably less precise. The trust in the information there would be less,reliability
Key meaning may be lost in translation and render the specific website service useless.,Key meaning may be lost in translation and render the specific website service useless.,human translation
"Priklausytų nuo to, ar vertimas būtų labiau artimas, ar prastas",Would depend on whether the translation would be more close or poor,human translation
neovlivnil,did not affect,nothing
ΠΡΟΣ ΤΟ ΚΑΛΥΤΕΡΟ ΑΝ Η ΜΕΤΑΦΡΑΣΗ ΗΤΑΝ ΣΩΣΤΗ,Towards the best if the translation was correct,human translation
Stratila by som dôveru k tomuto sídlu. Strojový preklad nemôže nikdy správne preložiť posolstvo vyslovené človekom,I would lose confidence in this headquarters. Machine translation can never properly translate the message pronounced by man,machine translation
Maszynowe tlumaczenie nie zapewni prawidłowego tłumaczenia kwestii prawnych,Machine translation will not ensure the correct translation of legal issues,human translation
Nebol by tam ľudský (osobný) faktor...,There would not be a human (personal) factor ...,machine translation
"la traduction automatique n est pas fiable, puique la plus part des cas les mots utilises n ont pas reellement la meme signification","Automatic translation is not reliable, Puical most of the cases the words used do not really have the same meaning",human translation
"Došlo by k určité míře ""odličtění,"" která je s užitím strojového překladu nevyhnutelně spojena. Překlad by dále mohl být méně srozumitelný.","There would be a certain degree of ""removal"", which is inevitably connected with machine translation. Furthermore, the translation could be less understandable.",reliability
Technical words don't get translated good with machine translation.,Technical words don't get translated good with machine translation.,machine translation
faciliterait beaucoup les choses,would make things easier,ease of use
"Pokiaľ mu rozumiem, pomôže mi a viem naň reagovať.","If I understand him, it will help me and I can respond to it.",nothing
"krkolomná vyjádření, snížení pochopení, ztráta ""diplomatické řeči, či dvojsmyslů"", na druhé straně hraje roli dostupnost, rychlost, potažmo cena","Crucular expression, reduction of understanding, loss of ""diplomatic speech or ambiguity"", on the other hand plays the role of availability, speed or price",understanding
korrekte Terminologie sehr wichtig - Menschen wissen genauer Bescheid über heikles Umfeld und Bedeutung korrekter Terminologie,Correct terminology very important - people know more about the sensitive environment and meaning of correct terminology,machine translation
Ik vind dit is hele interessant,I think this is very interesting,language
Non mi fido dei prodotti AI,I don't trust products to,human translation
Ar fi foarte bine pentru că vederea Nu mă prea ajută.,It would be very good because the vision doesn't help me.,understanding
Yes,Yes,nothing
e piu veloce,it's faster,understanding
Strojový překlad bývá nepřesný. Těžko se čte.,Machine translation is inaccurate. It's hard to read.,machine translation
"Considero que la información es muy sensible, se requiere el lado humano.","I consider that the information is very sensitive, the human side is required.",information
Traduceri mai putin corecte,Less correct translations,reliability
"En algunos casos, el texto traducido es sumamente incoherente y hay que revisar la fuente con el idioma original. Las traducciones automáticas no pueden distinguir entre géneros, modismos y en algunos casos, líneas temporales, esto solo lo hace el ser humano. Peor sí, se trata de transcripciones, de conversaciones, de videos y audios.","In some cases, the translated text is extremely incoherent and you have to review the source with the original language. Automatic translations cannot distinguish between genres, idioms and in some cases, temporary lines, this is only the human being. Worse yes, these are transcripts, conversations, videos and audios.",language
H,H,nothing
Neutral,Neutral,understanding
"Blocked by cybercrime, propaganda, anticipate, anti-government, G8 tellorism group, high influence viruses population all","Blocked by cybercrime, propaganda, anticipate, anti-government, G8 tellorism group, high influence viruses population all",information
KI programmierte ich mit Prolog in den 70er und 80er Jahren und das ist nichts Besonderes.,I programmed AI with prologue in the 70s and 80s and that is nothing special.,machine translation
muy de acuerdo,strongly agree,language
the european institution translations are probably the best online available source of translations for Linguee and other translators. If these were also machine translated we might not have good data anymore to train translation machines,the european institution translations are probably the best online available source of translations for Linguee and other translators. If these were also machine translated we might not have good data anymore to train translation machines,machine translation
Carecería de revisión.,Would lack review.,content
Négatif,Negative,quality
Language challenge,Language challenge,language
"As AI improves machine translation, the impact will diminish but now I frequently find myself frustrated & call it ""Artificial Stupidity."" When it is incompetent the lack of genuine concern for communication reflects on the provider.","As AI improves machine translation, the impact will diminish but now I frequently find myself frustrated & call it ""Artificial Stupidity."" When it is incompetent the lack of genuine concern for communication reflects on the provider.",machine translation
Machine cant understand the purpose of the question unless it is a general question which is asked frequently.,Machine cant understand the purpose of the question unless it is a general question which is asked frequently.,machine translation
Mai dificil de utilizat.,More difficult to use.,content
Alcançar o máximo possível de público,Achieve as much as possible,information
Satisfactoare,satisfaction,quality
nonn so,Nonn this,understanding
Τον τρόπο κατανόησησς,The way of understanding,understanding
Ich würde die Angaben woanders verproben oder das Originaldokument auf Englisch lesen.,I would use the information somewhere else or read the original document in English.,information
"For mig ville det ikke gøre nogen synderlig forskel, men jeg kunne forstille mig, at det ville gøre brugen af Rådets webside mere overskuelig, for folk der ikke er ligeså godt tilstede i fremmede sprog.","To me, it would make no particular difference, but I could imagine that it would make the use of the council's web page more transparent, for people who are not as well present in foreign languages.",language
"Wynikły by nieporozumienia, nieścisłości i różna interpretacja.","Misunderstandings, inaccuracies and different interpretation would result.",understanding
nesemnificativ,insignificant,understanding
Možnosť nepochopenia sa. Ľudský faktor je nenahraditeľný.,Possibility of misunderstanding. The human factor is irreplaceable.,understanding
herformuleren van gripvol aanpakken lijdt of luikt,reformulating a grip -full tackling suffers or is part,machine translation
Maior rapidez,Faster,understanding
Suomea ei voi konekääntää asiallisesti,Finland cannot make machine turn in a matter of fact,machine translation
"Tendria que interpretar las incoherencias que, a veces, tiene la traducción automática.",I would have to interpret the incoherences that sometimes have automatic translation.,human translation
...,...,nothing
o mai mare audienta,a larger audience,information
"A magyar nyelvvel kapcsolatban tudtommal még elég kevés text van feltöltve a nagy nyelvi modell adatbázisába. Akkor, ha a text mértéke meghaladja a10milliós fogalmi keretet, semmi gondom nem lenne.","As far as Hungarian is concerned, quite a few texts are uploaded to the large language model database. If the text is exceeding the A10 million conceptual framework, I would have no problem.",language
Depende da fiabilidade e da qualidade gramatical que apresentar.,It depends on the reliability and the grammatical quality you present.,quality
Πολλές φορές η μηχανική μετάφραση κάνει λάθη.,Many times the mechanical translation makes mistakes.,human translation
Srozumitelnost.,Intelligibility.,understanding
reliability,reliability,reliability
"Es wäre zugänglicher für andere Menschen, mit anderer Sprache.","It would be more accessible to other people, with a different language.",language
Δεν θα υπήρχε καλή μετάφραση,There would be no good translation,human translation
You will be robbing people who needs their job translating. Do not hire AI translation,You will be robbing people who needs their job translating. Do not hire AI translation,human translation
Ik vind machinevertaling niet betrouwbaar genoeg.,I think machine translation is not reliable enough.,machine translation
"In modo da consentire a tutti, i contenuti delle informazioni pubblicate sul sito.","In order to allow everyone, the contents of the information published on the site.",information
Help me to learn more languages and get more information in another languages.,Help me to learn more languages and get more information in another languages.,language
La compréhension différentes d'une langue a une autre.,The different understanding of one language has another.,understanding
Nada,Anything,machine translation
Je ne l'utiliserais plus,I wouldn't use it anymore,information
Ich vertraue diesen Übersetzungen nicht,I do not trust these translations,human translation
Automatic translators usually give really approximate translations,Automatic translators usually give really approximate translations,human translation
Preciso che è !!!fondamentale!!!! che venga tradotto da una persona ognuno nella propria lingua!!!! Le trafuzioni automatiche ad oggi sono pessime e piene di errori!!!!! La UE si deve prendere la redponsabilità di ciò che viene tradotto e non lasciato ad un programma stupido!!!!,I specify that it is !!! fundamental !!!! that is translated by a person each in their own language !!!! The automatic storage to date are bad and full of errors !!!!! The EU must be taken the depending on what is translated and not left to a stupid program !!!!,language
AI kann mit sehr differenzierten Inhalten noch nicht perfekt umgehen. Da ist die menschliche Übersetzung immer noch besser. Außerdem werden die Arbeitsplätze dieser Menschen erhalten.,AI cannot yet deal perfectly with very differentiated content. The human translation is still better. The jobs of these people are also preserved.,content
Pravděpodobně by se snížila kvalita překladu a nepůsobilo by to na mě profesionálně a důvěryhodně.,The quality of translation would probably be reduced and it would not affect me professionally and trustworthy.,quality
"Al ser catalana, me gustaría mucho ver como la Unión Europea tiene en cuenta mi idioma y me facilitaría el entendimiento de la información que me ofrecen.","Being Catalan, I would very much like to see how the European Union takes my language into account and I would facilitate the understanding of the information they offer me.",understanding
"intensivere Nutzung,ggf. Verbesserung bzw. Steigerung in der Analyse, Achtsamkeitsfaktor !","more intensive use, possibly. Improvement or increase in analysis, mindfulness factor!",reliability
"Keine, da in Muttersprache verfügbar aber Qualität der Übersetzung ist wichtig und muss überprüft werdne!","None, since the mother tongue is available but the quality of the translation is important and must be checked!",quality
tłumaczenie maszynowe nadal zawiera sporo błędów,Machine translation still contains a lot of mistakes,machine translation
hodně.,lots of.,machine translation
Rischio di errore,Risk of error,human translation
Intelegere,Understanding,nothing
Byłoby prawdziwe,It would be true,information
Websites that use machine translation give worse user experience than websites where proffesionals translate the content,Websites that use machine translation give worse user experience than websites where proffesionals translate the content,content
"Dans le cas de recherches precises et specifiques, certains termes peuvent porter a confusion et une fausse interpretation en cas de traduction incorrecte. Par exemple un des traducteurs automatiques les plus utilises (Google translator) que j'utilise regulierement n'a pas de systeme d'intelligence articielle (sauf erreur de mar part) et pour des traductions longues, le texte ne veut rien dire (si faut avoir des bases dans la langue d'origine et la langue traduite pour comprendre tout le sens). Pour un utilisateur n'ayant aucune connaissance dans la langue recherchee risque de ne rien comprendre. C'est utile pour quelques mots mais pas davantage a mon avis.","In the case of precise and specific research, certain terms can bring confusion and a false interpretation in the event of an incorrect translation. For example, one of the most used automatic translators (Google Translator) that I use regularly has no articial intelligence system (unless there are marry error) and for long translations, the text does not mean anything (if necessary have bases in the original language and the language translated to understand all the meaning). For a user having no knowledge in the language is likely to understand nothing. It is useful for a few words but not more in my opinion.",language
Moltissimo,Very very much,information
Je prendrai les informations avec beaucoup plus de prudence,I will take the information with much more caution,information
toate informatiile in Romana fara sa mai pierzi timp cu traducerea,All information in Romanian without wasting time with translation,information
Je ne sais pas,I don't know,nothing
I would not be certain if certain names for documents or acts would be correctly translated due to machine translation tendency to translate words literally.,I would not be certain if certain names for documents or acts would be correctly translated due to machine translation tendency to translate words literally.,machine translation
"ich hoffe es wird noch gegengelesen von Juristen, dann keine.","I hope it is still read from lawyers, then none.",machine translation
"Antagligen skulle detta medföra att alla språk är översatta från engelska, vilket skulle ge eventuella fel i alla texter utom för det språket, vilket inte känns bra, orättvist, läskigt osv.","Probably this would mean that all languages ​​are translated from English, which would cause any errors in all texts except for that language, which does not feel good, unfair, scary, etc.",language
in peggio,worse,language
Η ανταπόκριση στη σημασία των λέξεων ενδέχεται να είναι ελλιπής.,The response to the meaning of the words may be incomplete.,language
"Jsem přesvědčen, že negativně, protože čeština je složitý jazyk. I když mohlo by být zajímavé, mít možnost porovnat stejný materiál přeložený překladatelem a strojově.","I am convinced that negative, because Czech is a complex language. Although it could be interesting to be able to compare the same material translated by the translator and machine.",machine translation
Tłumaczenie maszynowe nie zawsze jest dobre i nie jest na razie w stanie przetłumaczyć bardziej złożonych słów lub formuł występujących w innym języku i czasami takie tłumaczenie nie jest w stanie w pełni oddać znaczenia słów.,Machine translation is not always good and is not able to translate more complex words or formulas in a different language yet and sometimes such a translation is not able to fully reflect the meaning of words.,human translation
Machine translation doesn't pick up on different meanings of some words and the shades of languages.,Machine translation doesn't pick up on different meanings of some words and the shades of languages.,language
Geen,No,nothing
nicht an alles glauben,do not believe in everything,understanding
"Machine translation can never replace the human translation, it would be filled translation errors.","Machine translation can never replace the human translation, it would be filled translation errors.",human translation
NEEN NON,No. Non,nothing
Less trust in the contents.,Less trust in the contents.,reliability
neovlivnil,did not affect,nothing
Minore precisione nei contenuti,Less precision in content,content
Osäkerhet kring om information är korrekt,Uncertainty about whether information is correct,information
"it would be helpful for people who do not know English, such as older italian generations born in the 1960s-70s","it would be helpful for people who do not know English, such as older italian generations born in the 1960s-70s",language
Je partagerais plus souvent son contenu sur les réseaux sociaux.,I would more often share its content on social networks.,content
in niciun mod,in no way,nothing
"Las traducciones automáticas suelen presentar fallos y no usan un léxico tan rico y variado como el que usa una persona expresamente formada para esa labor. La labor de los traductores es muy importante, y más en asuntos oficiales. Si no se traduce bien un texto, entenderlo es mucho más complejo, imposible incluso en ciertas ocasiones. Y en textos oficiales, donde abundan los tecnicismos (lo que los hace complicados ya de por sí), es vital disponer de una traducción correcta.","Automatic translations usually present failures and do not use a lexicon as rich and varied as the one who uses a person expressly formed for that work. The work of translators is very important, and more in official matters. If a text does not translate well, understanding it is much more complex, impossible even on certain occasions. And in official texts, where technicalities abound (which makes them complicated already), it is vital to have a correct translation.",human translation
"As i am mainly english oriented it doesn't matter. But with several other languages like bulgarian, ukrainian, italian the translations can be totally wrong interpreted. So you have to refer to the official language which is guiding. That is currently against the regulations. Also there are words or ways of writing which are new and/or doesn't exist in certain languages.","As i am mainly english oriented it doesn't matter. But with several other languages like bulgarian, ukrainian, italian the translations can be totally wrong interpreted. So you have to refer to the official language which is guiding. That is currently against the regulations. Also there are words or ways of writing which are new and/or doesn't exist in certain languages.",language
It would be tailored to each country,It would be tailored to each country,ease of use
"I use the Council website for terminological research. While machine translation is fine for information purposes, it is not reliable to get nuance and detail correct. It also cannot deal with style and register, and occasionally makes stupid mistakes with unknown formulations. Those pages should be checked for accuracy.","I use the Council website for terminological research. While machine translation is fine for information purposes, it is not reliable to get nuance and detail correct. It also cannot deal with style and register, and occasionally makes stupid mistakes with unknown formulations. Those pages should be checked for accuracy.",information
Facilitaría mucho el acceso a todos los contenidos,Would greatly facilitate access to all content,content
Bien,GOOD,nothing
"The machine is always imperfect. I can obtain a machine translation from any internet service. If a website wants to make its own translation, it should be done by a human translator.","The machine is always imperfect. I can obtain a machine translation from any internet service. If a website wants to make its own translation, it should be done by a human translator.",machine translation
Qu est ce une qüestión incidentes ou accidente s,What is an incident or accident s qüestión s,understanding
Yes,Yes,nothing
May make the text grammaticaly wrong.,May make the text grammaticaly wrong.,language
Estaría traducido según la situación de los activos cripto de cada país y las preguntas estarían basadas en las actividades propias de cada mercado cripto.,It would be translated according to the situation of the crypto assets of each country and the questions would be based on the activities of each crypto market.,machine translation
mi-ar facilita accesul si mi-ar sporii interesul,would facilitate my access and increase my interest,content
"The information you provide is important to be well explained and phrased as well as possible. Machine translation still struggles with that in many languages, especially those of a different language group.","The information you provide is important to be well explained and phrased as well as possible. Machine translation still struggles with that in many languages, especially those of a different language group.",language
"Translations are usually faulty, especially done by AI. This means the text generated would be unreliable.","Translations are usually faulty, especially done by AI. This means the text generated would be unreliable.",human translation
Kkk,Kkk,nothing
J'AI CRAINTE Que les subtilités du langage diplomatique en souffrent,I have fear that the subtleties of diplomatic language are suffering from it,language
"Schnellere Verfügbarkeit von Informationen und Dokumenten; Sorge um korrekte, natürliche und verständliche Sprache sowie korrekte und konsistente Terminologie","Faster availability of information and documents; Concern about correct, natural and understandable language as well as correct and consistent terminology",information
"Major, benefic","Major, benefic",language
"Ich bin mir nicht sicher, allerdings denke ich schon, dass Menschen dies aktuell besser beherrschen. Zudem kann ein falsches Wort zu einem gänzlich anderen Inhalt führen. Die Verantwortung hier scheint sehr groß zu sein. Zudem geht es auch um Arbeitsplätze.","I am not sure, but I think that people are currently mastering this better. In addition, a wrong word can lead to a completely different content. Responsibility here seems to be very great. It is also about jobs.",content
no idea,No idea,language
Maakt voor mij geen verschil,Makes no difference to me,understanding
nemtudom,I do not know,nothing
persoanele care nu stapanesc o limba fluent s-ar descurca mult mai bine,people who do not master a fluent language would do much better,language
"Przy tłumaczeniu maszynowym mogą powstać nieścisłości związane z ewentualnym błędnym tłumaczeniem, gdy nie jest ono sprawdzane przez człowieka.","With machine translation, inaccuracies may arise related to a possible incorrect translation when it is not checked by man.",human translation
Easier interaction,Easier interaction,ease of use
Veľmi by to neovplyvnilo,It wouldn't affect it very much,information
"It can't always translate in the proper way, words are nuanced.","It can't always translate in the proper way, words are nuanced.",machine translation
Not inaff precision.,Not inaff precision.,content
"Wenn mir auffällt, dass durch eine maschinelle Übersetzung die Texte teilweise nicht sinngemäß übersetzt sind und Verständnisprobleme auftreten, würde ich die Seite voraussichtlich zukünftig meiden. Wenn die maschinelle Übersetzung von Menschen auf sinngemäße Übersetzung überprüft wird, spricht meiner Bewertung nach nichts gegen eine maschinelle Übersetzung.","If I notice that a machine translation does not translate the texts in some cases and that problems arise, I would probably avoid the page in the future. If the machine translation of people is checked for analogy translation, my evaluation does not speak anything against a mechanical translation.",human translation
"El uso de la IA no me gusta, pero no niego que es realmente útil. mientras haya una supervisión humana del buen sentido de las traducciones. me parecerá correcto. que remedio","I don't like AI use, but I don't deny that it is really useful. while there is a human supervision of the good sense of translations. It will seem correct. What a remedy",human translation
Einen schlechten,A bad,nothing
Die Lesbarkeit würde leiden.,The readability would suffer.,human translation
În sens pozitiv,In a positive sense,understanding
Keine,No,nothing
"Se ci fosse una tradizione automatica indubbiamente potrei entrare senza dovermi preoccupare di attivare il traduttore, inoltre la vedo come un mezzo che unisce l'Europa.","If there was an automatic tradition undoubtedly I could enter without having to worry about activating the translator, also I see it as a means that unites Europe.",human translation
"Todo es una suposición pero, a menudo las traducciones automáticas no entienden muy bien las frases hechas y crean confusión. Creo que en una página TAN oficial como está no es viable. Por no decir que la UE no debería promocionar la perdida de trabajo en pro de las máquinas.","Everything is an assumption but, often automatic translations do not understand very well the phrases made and create confusion. I think that on a page as official as it is not viable. Not to mention that the EU should not promote the loss of work for machines.",machine translation
Zanimivo bi bilo poslušati izjave vslovenščini.,It would be interesting to listen to the statements of the indicator.,language
mayor inexactitud,greater inaccuracy,understanding
"O meu nível de inglês é bom, mas determinados conteúdos mais técnicos são difíceis de apreender, o que me leva a precisar de mais tempo.","My English level is good, but certain more technical content is difficult to apprehend, which makes me need more time.",content
"До някаква степен би ме затруднило, специално при по особена терминология","To some extent would make me difficult, especially in a special terminology",content
easy access,easy access,information
Perchè si comprenderebbero appieno le sfumature della comunicazione.,Because the nuances of communication would fully understand.,machine translation
"Przez potencjalne błędy tłumaczenia oraz jego często nienaturalny wydźwięk, czytelność i przyjemność jego przyglądania mogłaby spaść.","Due to potential translation errors and its often unnatural overtones, readability and pleasure of watching it could fall.",human translation
Бързо ще мога да се ориентирам как да стигна да нужната информация и да я прочета за да разбера за какво става въпрос. После може да се изисква точен превод.,I will quickly be able to navigate how to get the information I need and read it to find out what it is about. Then an accurate translation may be required.,information
in modo negativo.,negatively.,human translation
Una bună,A good one,nothing
